state_name,2020,2021,2022,2023,2024
AK,1288.167238486244,1297.7040923028503,1755.4332342357143,2126.2518904900357,2151.8780095845464
AL,733.1807428781849,803.9166053265291,1154.7126171225063,1435.102835333467,1458.8194075921554
AR,650.5584825130394,718.3253909024079,1050.653790663089,1315.2548278962834,1346.0049636278488
AZ,1127.2553794162181,1314.1935353612657,2005.4904066566544,2396.025333535432,2448.4946861755357
CA,2148.2946442691355,2398.4680128939667,3474.7486778865723,4116.118141797967,4268.695454703755
CO,1634.8210226380213,1819.9953752783615,2671.7083429122017,3173.8607980595366,3181.498115932695
CT,1230.9397818102393,1373.5295184374077,1945.3508372365172,2513.0234133489184,2724.7025596475805
DE,1132.9563110612507,1280.2877960758437,1866.5914322208246,2346.6273278109807,2407.161701353214
FL,1036.1192885244566,1166.801717100367,1868.1212028446985,2345.9588463992013,2339.0076142638836
GA,742.1711058536704,824.8380935518016,1236.8701712965387,1576.3257213991458,1644.050173599266
HI,2951.6088508532002,3204.0722637850813,4872.954128632051,5949.990739129674,6056.793860739331
IA,783.9923082622283,821.5267050052837,1151.2760350788622,1447.3421265550455,1482.1624947184173
ID,1190.0833507875027,1477.7806025601342,2190.0893729058016,2569.119540916215,2592.0458791648107
IL,594.3317683489021,625.9079708724607,866.6993657021144,1082.886462582143,1135.8332506226154
IN,666.582808154501,736.4514844097918,1056.7845870165318,1335.9242026107684,1395.2524091393732
KS,738.4068200176449,796.9156797853263,1128.3338033317868,1434.8368952796877,1494.7423533792366
KY,699.4063745069911,761.0624425029882,1082.20944852834,1376.5768154572327,1424.5620513420934
LA,787.2094098622484,793.285609367927,1057.2488532039179,1235.7566723745256,1206.0376139690786
MA,1486.9515917651534,1675.671135054598,2408.734576566549,3051.091422988665,3228.3857068520074
MD,1028.429599383428,1121.3862074097817,1552.5733241959388,1915.4281236681893,1969.626751528082
ME,985.0981538917316,1141.1807488152253,1670.3095424135997,2154.6893841481256,2271.6643864851644
MI,746.9404253353282,827.076929834799,1164.992298140102,1453.2598758804513,1518.74540318191
MN,968.9864716841524,1042.3829771387757,1459.7220325611077,1794.4129727235886,1829.5669932319508
MO,743.9335592193693,819.670378073226,1179.610721294111,1477.52496246613,1525.8043568905996
MS,658.295815708641,706.9815092389196,999.6795215787406,1230.1562420797284,1249.7098738076104
MT,1350.5698670328316,1581.8580860476202,2374.110867966564,2913.3326223606227,3029.519433013169
NC,870.6692011671503,976.1482052335213,1469.80488796382,1874.3518608464158,1940.8959798067017
ND,1013.9612097679443,1043.7153418039352,1436.1613474902827,1802.886107846209,1830.352552987237
NE,840.2987286637027,918.8963430789628,1306.104089313558,1642.0443585060193,1687.4632756535586
NH,1339.36263388077,1515.5231378688104,2180.2070457338846,2818.401951119012,3016.0835112222794
NJ,1201.405545772993,1369.8497858415149,2021.790503980639,2593.3399807606343,2751.8897167704613
NM,1061.9431375470497,1168.3084378022477,1695.8321763654776,2138.4899851604832,2205.9229136876547
NV,1488.093243031827,1705.1374401478781,2532.1087878716876,2920.0780368573523,3024.7707176819627
NY,864.6923442259484,950.4745575948585,1341.9611565072641,1695.5048930377807,1804.1853479731271
OH,594.1822279976662,657.6849853182636,919.2450836289656,1152.7164578484355,1212.298606463748
OK,573.9788786493295,623.7684773909045,890.3570728504463,1117.8532565352994,1148.969357412645
OR,1534.5346083113714,1756.208221920664,2529.385729100807,3016.381425728681,3049.8233696518673
PA,830.5340245573824,903.9294634587042,1264.1916270345575,1588.735765411113,1646.7836547839277
RI,1380.9604626501089,1549.9879428882878,2202.213391665892,2782.9939841831947,2975.41811351738
SC,889.2810173898057,982.4248587799998,1487.5513823984509,1891.2245184426954,1945.69952874993
SD,1014.7698527425141,1119.9477235612198,1670.7170558614057,2083.591126548634,2127.1638813891705
TN,815.8839799049258,909.0448769930259,1372.3377570924506,1734.3087681726277,1803.8693209165353
TX,796.6300116627413,864.997779214124,1254.3175105574537,1535.5523193059626,1540.860981272749
UT,1515.62231234285,1800.0115366579444,2715.4627688990354,3182.3847193908364,3197.171999536131
VA,1110.5663831852783,1212.1165339318875,1707.5340350187175,2139.8303857450665,2219.4493168489957
VT,1417.8714329724178,1550.8109144676876,2222.3057884081254,2846.4746184050455,2929.019325225397
WA,1554.0474786678046,1779.252722641,2568.9089877861293,3047.5162191838376,3111.6007157982767
WI,896.5920784819554,975.9847991530037,1366.0713924849179,1756.0292286640151,1852.1075069662927
WV,523.8257862547944,565.9957782548759,779.4744069519592,979.4452572434204,1024.475414174122
WY,1149.5679753190338,1197.193872506508,1631.7323478479161,2013.531600293896,2059.6738887361516
